"id_config","id_variable","tipo_variable","clave","valor","descripcion","tipo_valor","items","dependent_clave","dependent_valor","editable","co_operation","da_update"
1,1,"G","notificationsOrder","false","<p align=""justify""><b>¿Desea recibir notificaciones por correo de pedidos realizados por la app móvil? </b><br> SI: Envía el correo notificación <br> NO: No se envía el correo de notificación</p>","selectBoolean","","","",True,"I","2026-06-12 13:20:01.93454"
2,2,"G","notificationsCollection","false","<p align=""justify""><b>¿Desea recibir notificaciones por correo de cobros realizados por la app móvil? </b><br> SI: Envía el correo notificación <br> NO: No se envía el correo de notificación</p>","selectBoolean","","","",True,"I","2026-06-12 13:20:01.93454"
3,3,"G","notificationsDeposit","false","<p align=""justify""><b>Desea recibir notificaciones por correo de depósitos realizados por la app móvil?  </b><br> SI: Envía el correo notificación <br> NO: No se envía el correo de notificación</p>","selectBoolean","","","",True,"I","2026-06-12 13:20:01.93454"
4,4,"G","notificationsReturn","false","<p align=""justify""><b>¿Desea recibir notificaciones por correo de devoluciones realizadas por la app móvil? </b><br> SI: Envía el correo notificación <br> NO: No se envía el correo de notificación</p>","selectBoolean","","","",True,"I","2026-06-12 13:20:01.93454"
5,5,"G","notificationsPotentialClient","false","<p align=""justify""><b>¿Desea recibir notificaciones por correo sobre clientes potenciales?  </b><br> SI: Envía el correo notificación <br> NO: No se envía el correo de notificación</p>","selectBoolean","","","",True,"I","2026-06-12 13:20:01.93454"
6,6,"G","notificationsClientStock","false","<p align=""justify""><b>¿Desea recibir notificaciones por correo de existencia de productos en el cliente?  </b><br> SI: Envía el correo notificación <br> NO: No se envía el correo de notificación</p>","selectBoolean","","","",True,"I","2026-06-12 13:20:01.93454"
7,7,"G","userMustActivateGPS","true","<p align=""""justify""""><b>¿Deben los usuarios activar la Geolocalización para hacer cualquier transacción? </b><br> SI: Deben activar la geolocalizacion para poder realizar transacciones <br> NO: No es obligatorio la geolocalizacion para realizar transacciones</p>","selectBoolean","","","",True,"I","2026-02-12 17:08:49.54035"
8,8,"G","userCanSaveGPS","true","<p align=""""justify""""><b>¿Pueden los usuarios capturar las coordenadas de las sucursales? </b><br> SI: Permite que los usuarios tomen las coordenas de las sucursales en las visitas<br> NO: No permite al usuario tomar las coordenadas de las sucursales</p>","selectBoolean","","","",True,"I","2025-10-13 09:35:54.40756"
9,9,"G","enterpriseEnabled","false","<p align=""justify""><b>¿Desea habilitar el campo de empresa en todo los módulos de la aplicación? </b><br> SI: Se habilitará el campo de empresa en todos los módulos <br> NO: No se habilita el campo de empresa en los módulos</p>","selectBoolean","","","",True,"I","2026-02-12 17:08:49.54035"
10,10,"G","multiCurrency","true","<p align=""justify""><b>¿Realizan transacciones con diferentes monedas? </b><br> Para modificar esta opción debe contactar con el administrador</p>","selectBoolean","","","",True,"I","2025-10-13 09:35:54.40756"
11,12,"G","parteElntera","15","<p align=""justify""><b>Indique ¿cuántos dígitos debe tener la parte entera? </b><br> Colocar la cantidad de números enteros a mostrar, la cantidad máxima es de quince (15)</p>","integer","13,15","","",False,"I","2025-10-13 09:35:54.40756"
